n_clusters,n_per_cluster,total_training_samples,training_percentage,test_mae,test_rmse,selected_ids
3,1,3,3.061224489795918,29.274019241333008,41.09916305541992,"['1b5h', '1bai', '1a69']"
3,2,6,6.122448979591836,42.07139587402344,53.53806686401367,"['1b5h', '1b4h', '1bai', '1bcu', '1a69', '1bxr']"
3,3,9,9.183673469387756,34.45746612548828,46.33832550048828,"['1b5h', '1b4h', '1b3g', '1bai', '1bcu', '1bhx', '1a69', '1bxr', '1bq4']"
3,5,14,14.285714285714286,39.39381408691406,54.43024826049805,"['1b5h', '1b4h', '1b3g', '1b6h', '1b51', '1bai', '1bcu', '1bhx', '1a4w', '1c1u', '1a69', '1bxr', '1bq4', '1ado']"
5,1,5,5.1020408163265305,33.666202545166016,49.42240524291992,"['1b46', '1bai', '1a69', '1ai5', '1bgq']"
5,2,10,10.204081632653061,35.01054763793945,48.704071044921875,"['1b46', '1b0h', '1bai', '1a94', '1a69', '1ado', '1ai5', '1ajq', '1bgq', '1amw']"
5,3,14,14.285714285714286,31.71929168701172,46.466796875,"['1b46', '1b0h', '1b3h', '1bai', '1a94', '1bcu', '1a69', '1ado', '1ai5', '1ajq', '1ajp', '1bgq', '1amw', '1c5c']"
5,5,22,22.448979591836736,29.938594818115234,47.59365463256836,"['1b46', '1b0h', '1b3h', '1b2h', '1b58', '1bai', '1a94', '1bcu', '1a4w', '1bhx', '1a69', '1ado', '1ai5', '1ajq', '1ajp', '1ai4', '1ai7', '1bgq', '1amw', '1c5c', '10gs', '1a4r']"
7,1,7,7.142857142857143,32.672794342041016,47.60614776611328,"['1b46', '1aid', '1a69', '1ajn', '1bq4', '1avn', '1bgq']"
7,2,14,14.285714285714286,34.83521270751953,47.853572845458984,"['1b46', '1b0h', '1aid', '1a9m', '1a69', '1ado', '1ajn', '1ai7', '1bq4', '1bzy', '1avn', '1bnv', '1bgq', '1amw']"
7,3,20,20.408163265306122,32.52932357788086,49.33847427368164,"['1b46', '1b0h', '1b3h', '1aid', '1a9m', '1ajx', '1a69', '1ado', '1ajn', '1ai7', '1ai4', '1bq4', '1bzy', '1bxr', '1avn', '1bnv', '1bnq', '1bgq', '1amw', '1c5c']"
7,5,31,31.632653061224488,31.0396671295166,47.583251953125,"['1b46', '1b0h', '1b3h', '1b2h', '1b58', '1aid', '1a9m', '1ajx', '1ajv', '1bdq', '1a69', '1ado', '1ajn', '1ai7', '1ai4', '1ajp', '1ajq', '1bq4', '1bzy', '1bxr', '1a4k', '1avn', '1bnv', '1bnq', '1bnt', '1bnu', '1bgq', '1amw', '1c5c', '10gs', '1a4r']"
10,1,10,10.204081632653061,36.79496383666992,58.26533889770508,"['1ajn', '1afk', '1bgq', '1a69', '1avn', '1b3h', '1a94', '1a4k', '1bq4', '1bp0']"
10,2,20,20.408163265306122,36.133670806884766,60.091285705566406,"['1ajn', '1ai7', '1afk', '1afl', '1bgq', '1amw', '1a69', '1ado', '1avn', '1bnv', '1b3h', '1b58', '1a94', '1ajv', '1a4k', '1bzy', '1bq4', '1bxr', '1bp0', '1c3x']"
10,3,27,27.551020408163264,30.333660125732422,50.67256164550781,"['1ajn', '1ai7', '1ai4', '1afk', '1afl', '1bhf', '1bgq', '1amw', '1c5c', '1a69', '1ado', '1avn', '1bnv', '1bnq', '1b3h', '1b58', '1b7h', '1a94', '1ajv', '1a9m', '1a4k', '1bzy', '1bq4', '1bxr', '1bp0', '1c3x', '1b55']"
10,5,38,38.775510204081634,27.231281280517578,46.32349395751953,"['1ajn', '1ai7', '1ai4', '1ajp', '1ajq', '1afk', '1afl', '1bhf', '1b8y', '1bgq', '1amw', '1c5c', '10gs', '1a4r', '1a69', '1ado', '1avn', '1bnv', '1bnq', '1bnt', '1bnu', '1b3h', '1b58', '1b7h', '1b32', '1b05', '1a94', '1ajv', '1a9m', '1bv7', '1ajx', '1a4k', '1bzy', '1bq4', '1bxr', '1bp0', '1c3x', '1b55']"
Full Dataset,-,78,79.59183673469387,24.007282257080078,30.014781951904297,
